Question,Answer
Nhân viên nghỉ không phép nhưng có lý do cá nhân?,Yêu cầu cung cấp chứng từ hoặc trừ phép.
Nhân viên nghỉ không phép trên 5 ngày?,Chấm dứt hợp đồng thử việc hoặc nghỉ việc không lương.
Nhân viên nghỉ ốm dưới 2 ngày có giấy chứng nhận y tế?,Không trừ lương và yêu cầu nộp giấy tờ.
Nhân viên nghỉ ốm từ 3–5 ngày có giấy chứng nhận y tế?,"Không trừ lương, hưởng bảo hiểm xã hội."
Nhân viên nghỉ ốm trên 5 ngày có giấy tờ?,Tính chế độ ốm đau theo quy định BHXH.
Nhân viên nghỉ ốm không có giấy chứng nhận?,Trừ 1 ngày phép và trừ lương theo ngày nghỉ.
Nhân viên nghỉ ốm quá số ngày phép thiếu?,Tính nghỉ không lương và trừ lương.
Nhân viên nghỉ ốm liên tục nhiều đợt?,Yêu cầu báo cáo sức khỏe và đánh giá lại.
Nhân viên nghỉ ốm trong mùa cao điểm?,Yêu cầu bổ sung giấy tờ và sắp xếp bù việc.
Nhân viên nghỉ ốm nửa ngày?,Trừ 50% lương nửa ngày.
Nhân viên nghỉ ốm khẩn cấp cần nhập viện?,Hỗ trợ thủ tục và tính chế độ ốm đau.
Nhân viên nghỉ ốm thai sản?,Tính chế độ thai sản theo quy định.
Nhân viên xin nghỉ hàng năm 1–2 ngày trước 30 ngày?,Chấp thuận và không trừ lương.
Nhân viên xin nghỉ hàng năm sau 3 ngày trước?,Không chấp thuận hoặc trừ phép.
Nhân viên xin nghỉ hàng năm trong mùa cao điểm?,Ưu tiên theo thứ tự đăng ký.
Nhân viên xin nghỉ hàng năm quá hạn?,Không được nghỉ bù và trừ 1 ngày phép.
Nhân viên xin nghỉ hàng năm nửa ngày?,Trừ 0.5 ngày phép.
Nhân viên xin nghỉ hàng năm quá số ngày phép?,Tính nghỉ không lương và trừ lương.
Nhân viên xin nghỉ hàng năm trong thử việc?,Không được thanh toán lương.
Nhân viên xin nghỉ hàng năm gộp 5 ngày?,Chấp thuận và thông báo trước 15 ngày.
Nhân viên xin nghỉ hàng năm theo sếp duyệt?,Cần giấy chấp thuận của trưởng phòng.
Nhân viên xin nghỉ hàng năm cho công tác cá nhân?,Chấp thuận theo chính sách công ty.
Làm thêm giờ trong ngày thường?,Tính hệ số 1.5 theo lương cơ bản.
Làm thêm giờ sau 22h?,Tính hệ số 2.0 theo lương cơ bản.
Làm thêm giờ ngày cuối tuần?,Tính hệ số 2.0 và nghỉ bù.
Làm thêm giờ ngày lễ?,Tính hệ số 3.0 và nghỉ bù.
Làm thêm giờ trên 4 giờ?,Cần sự đồng ý bằng văn bản của quản lý.
Làm thêm giờ không có duyệt?,Không được thanh toán và nhắc nhở.
Làm thêm giờ quá giới hạn tháng?,Giới hạn 50 giờ/tháng.
Làm thêm giờ để hoàn thành dự án?,Ưu tiên nghỉ bù hoặc thanh toán.
Làm thêm giờ cho nhân viên thử việc?,Tính 100% lương giờ làm thêm.
Làm thêm giờ tự nguyện?,Được chọn nhận lương hoặc nghỉ bù.
Làm việc từ xa 1 ngày trong tuần?,Cần thông báo trước 1 ngày.
Làm việc từ xa 2 ngày/tuần?,Tối đa 2 ngày và cần duyệt của quản lý.
Làm việc từ xa không có VPN?,Không được phép làm việc từ xa.
Làm việc từ xa ngoài giờ làm việc?,Không được tính lương tăng ca.
Làm việc từ xa cho nhân viên mới?,Chỉ áp dụng sau 3 tháng thử việc.
Làm việc từ xa trong mùa cao điểm?,Không ưu tiên và cần lý do chính đáng.
Làm việc từ xa cho sinh viên?,Áp dụng tối đa 1 ngày/tuần.
Làm việc từ xa khẩn cấp?,Cần phê duyệt gấp và báo cáo kết quả.
Làm việc từ xa với thiết bị công ty?,Công ty cung cấp laptop và hỗ trợ IT.
Làm việc từ xa hiệu quả?,Yêu cầu báo cáo công việc hàng ngày.
Đi công tác nội địa dưới 2 ngày?,Được hưởng 100% chi phí di chuyển và ăn ở.
Đi công tác nội địa trên 2 ngày?,Hỗ trợ tối đa 500.000 VND/ngày ăn ở.
Đi công tác quốc tế?,Được cấp visa và bảo hiểm du lịch.
Đi công tác mà không duyệt?,Không được thanh toán chi phí.
Đi công tác nhóm?,Cần phối hợp phòng HCNS.
Đi công tác tự đi?,Cần báo trước và tự chịu trách nhiệm.
Đi công tác ngay lập tức?,Cần liên lạc quản lý và xác nhận.
Đi công tác ngày lễ?,Hưởng 150% chi phí ngày lễ.
Hủy công tác?,Hoàn trả chi phí không quá 24 giờ.
Gia hạn công tác?,Cần phê duyệt quản lý cấp cao.
Hoàn chi phí ăn trưa?,Tối đa 150.000 VND/bữa và cần hóa đơn.
Hoàn chi phí đi lại xe máy?,Tối đa 15.000 VND/chuyến và cần hóa đơn.
Hoàn chi phí taxi?,Tối đa 200.000 VND/chuyến và cần hóa đơn.
Hoàn chi phí vé máy bay?,Theo vé thực tế và cần xác nhận.
Hoàn chi phí khách sạn?,Tối đa 1.000.000 VND/ngày và cần hóa đơn.
Hoàn chi phí hội thảo?,Tỷ lệ 100% theo chi phí thực tế.
Hoàn chi phí điện thoại?,Tối đa 300.000 VND/tháng và cần hóa đơn.
Hoàn chi phí internet?,Tối đa 500.000 VND/tháng.
Hoàn chi phí mua sắm văn phòng?,Theo chứng từ hợp lệ.
Hoàn chi phí quà tặng khách hàng?,Tối đa 500.000 VND/suất.
Sử dụng mật khẩu đơn giản?,"Không được phép, phải đủ độ phức tạp."
Chia sẻ tài khoản cho người khác?,Nghiêm cấm và xử lý kỷ luật.
In tài liệu mật?,Cần xin phép quản lý bảo mật.
Mang USB cá nhân vào công ty?,Chỉ cho phép USB được cấp.
Để máy tính không khóa?,Phải khóa màn hình khi rời máy.
Truy cập website cá nhân?,Chỉ được truy cập ngoài giờ làm việc.
Sử dụng phần mềm không bản quyền?,Nghiêm cấm và xử lý theo quy định.
Gửi email không mã hóa?,Phải sử dụng email nội bộ và mã hóa.
Lưu trữ dữ liệu nhạy cảm?,Phải lưu trên server công ty.
Báo cáo sự cố bảo mật?,Cần báo cáo ngay cho bộ phận IT.
